Row ID,Order ID,Customer ID,Product ID,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Rate,Review,Summary
11,CA-2014-115812,BH-11710,FUR-TA-10001539,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5,Great product,Beautiful product good material and perfectly working
12,CA-2014-115812,BH-11710,TEC-PH-10002033,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,5,Mind-blowing purchase,Awesome
13,CA-2017-114412,AA-10480,OFF-PA-10002365,Consumer,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,5,Highly recommended,Good
14,CA-2016-161389,IM-15070,OFF-BI-10003656,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,5,Brilliant,"Wonderful product, Must buy"
15,US-2015-118983,HP-14815,OFF-AP-10002311,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,5,Classy product,"Nice air cooler, smart cool breeze producer"
16,US-2015-118983,HP-14815,OFF-BI-10000756,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,5,Must buy!,Awsm
17,CA-2014-105893,PK-19075,OFF-ST-10004186,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,5,Fabulous!,Nice product ???
18,CA-2014-167164,AG-10270,OFF-ST-10000107,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,5,Worth every penny,Great cooler..
19,CA-2014-143336,ZD-21925,OFF-AR-10003056,Consumer,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,5,Super!,Nice product
20,CA-2014-143336,ZD-21925,TEC-PH-10001949,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,5,Great product,Good ???
21,CA-2014-143336,ZD-21925,OFF-BI-10002215,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,5,Awesome,Very nice product ???? ???
22,CA-2016-137330,KB-16585,OFF-AR-10000246,Corporate,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,5,Worth every penny,Good product
23,CA-2016-137330,KB-16585,OFF-AP-10001492,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,5,Just wow!,Nice product with the reasonable price
24,US-2017-156909,SF-20065,FUR-CH-10002774,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,5,Awesome,I like it...ƒœ‹?
25,CA-2015-106320,EB-13870,FUR-TA-10000577,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,5,Terrific purchase,Very goodd
26,CA-2016-121755,EH-13945,OFF-BI-10001634,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,5,Excellent,Good product
27,CA-2016-121755,EH-13945,TEC-AC-10003027,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,5,Worth every penny,Good product kawaleti
28,US-2015-150630,TB-21520,FUR-BO-10004834,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,5,Terrific,Very good cooler amazing beautiful designs affordable price
29,US-2015-150630,TB-21520,OFF-BI-10000474,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,5,Awesome,Using since 3months. Great experience.
30,US-2015-150630,TB-21520,FUR-FU-10004848,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,5,Simply awesome,Very good performance and nice look
31,US-2015-150630,TB-21520,OFF-EN-10001509,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,4,Wonderful,Product is good having strong thrust of air flow.. Must buy
32,US-2015-150630,TB-21520,OFF-AR-10004042,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,5,Terrific,Very good ???
33,US-2015-150630,TB-21520,OFF-BI-10001525,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,2,Expected a better product,Bad quality
34,US-2015-150630,TB-21520,OFF-AR-10001683,Consumer,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,5,Excellent,Very nice ??? product
35,CA-2017-107727,MA-17560,OFF-PA-10000249,Home Office,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,5,Terrific purchase,Very soundless product and low price other company
36,CA-2016-117590,GH-14485,TEC-PH-10004977,Corporate,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,5,Wonderful,Nice
37,CA-2016-117590,GH-14485,FUR-FU-10003664,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,5,Wonderful,The best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698
38,CA-2015-117415,SN-20710,OFF-EN-10002986,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,4,Good quality product,"cooler is big and wide . maharaja brand trust (y) every thing is good about cooler ,create less noise . only thing is that its motor is not powerful even in high speed rest all things are good ,.but yes for one middle size room it is ok"
39,CA-2015-117415,SN-20710,FUR-BO-10002545,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,5,Awesome,It is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will I hope create a space problem during off seasons... The air supply is very good and it's one of the essential part of the air cooler with the wool wood pads which helps to make super cooling.... Afterall thank you Maharaja company to make such a product in affordable and reasonable price
40,CA-2015-117415,SN-20710,FUR-CH-10004218,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,5,Excellent,Awesome Air coolerI was looking for a cooler under this range and this has fulfilled my requirement. This has the following features:1) Great Air through the capacity of 5000 m3/hr 2) Comes with a large 65-litre tank which can run overnight with ease.3) Great built that is a shockproof and reliable material.4) You have to stop this beast at night because it has that massive cooling capability.One small concern is mine and it is for sure that it is not a deal-breaker that it produces s...
41,CA-2015-117415,SN-20710,TEC-PH-10000486,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,5,Great product,"Purchased after a lot of discussions and reviews. I would say this the best which gives you the comfort needed. Best to for with no 2nd thoughts. Nice cooling, low noise. Hope this should be energy efficient and used for a long run..."
42,CA-2017-120999,LC-16930,TEC-PH-10004093,Corporate,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,5,Highly recommended,Very nice cooler. Cooling is very good there is no noise. I reviewed a lot then only i purchased it. If you want effective cooling you have to set it up at a window where there is cross ventilation. Without cross ventilation it will make environment humid. Lookwise it is very nice and material is strong.
43,CA-2016-101343,RA-19885,OFF-ST-10003479,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,5,Awesome,feedback given after using one week .. the cooler is amazing it's making the whole room cooling .. you should install the cooler near to your windows .. & the delivery was on time as well .the delivery boy also very supportive
44,CA-2017-139619,ES-14080,OFF-ST-10003282,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,3,Decent product,Great deal .. 65 l quite big tank . Sufficient Cooling for one medium size room .. 3 modes works well.. best in this range
45,CA-2016-118255,ON-18715,TEC-AC-10000171,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,5,Fabulous!,I bought this cooler on heavy discount by flipkart. Cooler is build of good quality material. It has a fast fan with powerfull motor pump. Air quality is Excellent even for a big room. A must buy value for money product.
46,CA-2016-118255,ON-18715,OFF-BI-10003291,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,3,Very satisfactory,"The Good things1. Very well packed. Good amount of thermocols to protect from transport damages2. Sturdy body3. Relatively less noise as compared to Bajaj cooler I had earlierWish this was betterFor many purposes, it is necessary to open Cooler body. Opening the body of cooler is not very intuitive. Common consumers may not even attempt for fear of damaging something. 1. Easy opening of side frames to change pads, or clean the water inlets2. Water balloon used to cut water supply au..."
47,CA-2014-146703,PO-18865,OFF-ST-10001713,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,4,Good quality product,Excellent product..Happy with result....Nice air flow...Osm cooling.....
48,CA-2016-169194,LH-16900,TEC-AC-10002167,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,5,Mind-blowing purchase,cooler Works Fine And It Is Inverter Friendly
49,CA-2016-169194,LH-16900,TEC-PH-10003988,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,1,Waste of money!,"Small wire and moter capacity is very low fan speed was not good ,out flow vent hole is above the lower part of cooler ,it's very difficult to change water."
50,CA-2015-115742,DP-13000,OFF-BI-10004410,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,5,Must buy!,Perfect product for large size room.
51,CA-2015-115742,DP-13000,OFF-LA-10002762,Consumer,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,4,Good not best,Average cooling not much as expected by size and reviews of cooler... cooling is sufficient Maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity.
52,CA-2015-115742,DP-13000,FUR-FU-10001706,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,5,Must buy!,Product was amazing.. cooling capacity awsum. Pls go for ahead .. a big thumbs up ?
53,CA-2015-115742,DP-13000,FUR-CH-10003061,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,4,Does the job,good
54,CA-2016-105816,JM-15265,OFF-FA-10000304,Corporate,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,3,Nice,"Received dalay 10 days, cooler is ok, when I was reveived switch damaged."
55,CA-2016-105816,JM-15265,TEC-PH-10002447,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,4,Worth the money,"Big one,working good 2days of use hope will work for long run"
56,CA-2016-111682,TB-21055,OFF-ST-10000604,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,4,Pretty good,good product nice air flow and no noice
57,CA-2016-111682,TB-21055,OFF-PA-10001569,Consumer,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,5,Good cooler,In this price.. Good cooler..
58,CA-2016-111682,TB-21055,FUR-CH-10003968,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,4,Wonderful,is good for many
59,CA-2016-111682,TB-21055,OFF-PA-10000587,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,4,Wonderful,"It is an awesome product, light weight, easy to use and having lot of features"
60,CA-2016-111682,TB-21055,TEC-AC-10002167,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,1,Worthless,The product doesn't cool as rated by other customers . The cooling is very slow . Very wrost product . I recommend to not buy this item . Wastage of money .
61,CA-2016-111682,TB-21055,OFF-BI-10001460,Consumer,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,5,Great product,looks like monster cooler. it is working as awesome
62,CA-2016-111682,TB-21055,OFF-AR-10001868,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,5,Great product,"Very nice product, Thank you Flipkart."
63,CA-2015-135545,KM-16720,TEC-AC-10004633,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,5,Must buy!,Very good
64,CA-2015-135545,KM-16720,OFF-BI-10001078,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,4,Good quality product,Good cooler. It occupies more space.. Looks very large but good for Hall.. It covers all the places...
65,CA-2015-135545,KM-16720,OFF-PA-10003892,Consumer,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,3,Decent product,"Very impressive cooler.Pros - Stylish , Energy efficient 165 Watt , Very good air throw and cooling , Summersible pumpCons - Very bulky take more place than other , No wheel , lack of ice box"
66,CA-2015-135545,KM-16720,FUR-FU-10000397,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,5,Brilliant,Best cooler. I bought 6884/-
67,US-2015-164175,PS-18970,FUR-CH-10001146,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,5,Super!,Excellent cooler in this price range.Pros:1) Air throw is very powerful even when u run it at slow speed setting 2) Cooling and Tank capacity3) Ergonomics Cons:1) If you want to clean the cooler then opening the pads is very cumbersome process. If you have placed it on some flat surface then also draining the old water is very difficult. Overall V good cooler apart from above cons and considering price.
68,CA-2014-106376,BS-11590,OFF-AR-10002671,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,1,Worst experience ever!,Cooler not provide cool air... Because 1year experience.
69,CA-2014-106376,BS-11590,TEC-PH-10002726,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,5,Perfect product!,A good product in budget
70,CA-2016-119823,KD-16270,OFF-PA-10000482,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,4,Wonderful,packaging excellent. value for money product.
71,CA-2016-106075,HM-14980,OFF-BI-10004654,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,5,Simply awesome,"Delivered within 2 days, working good"
72,CA-2017-114440,TB-21520,OFF-PA-10004675,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,4,Nice product,Efficient for Large RoomsPros-1. Low Noise of Fan2. Inverter Friendly3. Cools large rooms fastly and easily4. It have Aroma chamber in which you can add tablet of frangrance to Counter Smell of Woodwool Pads5. It have 2 Section for air flow which means you can adjust it to get Air for double decker cot equally.Cons-1.They should have provided stand of castor wheel for it to move.2. It should have Ice ChamberWill Update more about it in future...
73,US-2015-134026,JE-15745,FUR-CH-10000513,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,4,Worth the money,better than the steel cooler less noise and value for money
74,US-2015-134026,JE-15745,FUR-FU-10003708,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,1,Useless product,"dont buy maharaja whiteline coolers , they have cheap aluminum motors that are good for at max 2 years. repair cost of these motors is so high that u would want to sell rather than repair them."
75,US-2015-134026,JE-15745,OFF-ST-10004123,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,5,Excellent,Very nice product and delivery is satisfied
76,US-2017-118038,KB-16600,OFF-BI-10004182,Corporate,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,1,"Like an assembled, one can get for 4.5K Cheap Quality","No Quality product.1. The wood wool has started falling out from the next day.2. Out of Two Led (Indicator ) has found not working on arrival.3. The air swinger is already giving noise when moving which never used to be in my old cooler which I am using since 3 years.4. The quality is no way machine to ""Branded"" coolers.5. Anti bacterial tank has been bacterial now as there is no way to clean it. So, congested to maintain it cleanly.In my way think before you buy.AC has option to Aut..."
77,US-2017-118038,KB-16600,FUR-FU-10000260,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,5,Simply awesome,Air throw is very good. It makes room very cool in just half an hour. Full tank capacity is 65 litres which stays up to 5 hours. It makes big living room colder. Not very much noisy.
78,US-2017-118038,KB-16600,OFF-ST-10000615,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,5,Great product,on time delivery... Received exact product..Thank u Flipkart.
79,US-2014-147606,JE-15745,FUR-FU-10003194,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,5,Wonderful,Maharaja always no 1...
80,CA-2016-127208,SC-20770,OFF-AP-10002118,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,5,Wonderful,Awesome product. Love this
81,CA-2016-127208,SC-20770,OFF-BI-10002309,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352,2,Not good,Poar quality plastic material is not good.
82,CA-2014-139451,DN-13690,OFF-AR-10002053,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,4,Very Good,Value for money
83,CA-2014-139451,DN-13690,OFF-ST-10002370,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,5,Super!,Nice cooler
84,CA-2015-149734,JC-16105,OFF-EN-10000927,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,5,Terrific purchase,fantastic product.. great cool...
85,US-2017-119662,CS-12400,OFF-ST-10003656,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2,Slightly disappointed,"Don't buy just by seing the comments, don't know how people review and rate the product. Cooling is ok, but when it comes to fill the water, you would need inlet pipe to fill the water, we cannot open from the backsides to fill the water.Cleaning is highly impossible, because there is no way you can open and clean. Worst design. Other small small branded companies provide all those facilities, but this is worst product design, totally unhappy with this product."
86,CA-2017-140088,PO-18865,FUR-CH-10000863,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,4,Good quality product,Best at its price
87,CA-2017-155558,PG-18895,TEC-AC-10001998,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966,2,Expected a better product,"This is my review after using this product for a week.1-air throw is good.2-produce less noise.3-good product at reasonable price.But it never open from behind,not easy to clean,refill the water,cable is short"
88,CA-2017-155558,PG-18895,OFF-LA-10000134,Consumer,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568,1,Horrible,Cooling fan problem
89,CA-2016-159695,GM-14455,OFF-ST-10003442,Home Office,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,3,Nice,"After discount Rs 7200. Price is OKQuality is OKDelivery as on time OKMotor Speed 1200 rpm OKPump OKColour is OK & look is also OKWater storage is Appx 65 ltd More than 3 large bucket is OKStill giving 3 star because it is a large in size and in width, not fit to my window. Not expected.Will give next rating after couple of month usage.Thanx Flipkart."
90,CA-2016-109806,JS-15685,OFF-AR-10004930,Corporate,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,4,Good quality product,"Product is really worthy of price 8k , however it occupied more space in room. Should one consider it before buy it. Worth for that money"
91,CA-2016-109806,JS-15685,TEC-PH-10004093,Corporate,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,5,Simply awesome,"Mind Blowing Very Good for Hall and for Big Wondow, it's really big in size, Quality is nice, must buy"
92,CA-2016-109806,JS-15685,OFF-PA-10000304,Corporate,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,5,Mind-blowing purchase,Good and sufficient size
93,CA-2015-149587,KB-16315,OFF-PA-10003177,Consumer,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208,5,Highly recommended,Awesome
94,CA-2015-149587,KB-16315,FUR-FU-10003799,Consumer,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,5,Fabulous!,Good product
95,CA-2015-149587,KB-16315,OFF-BI-10002852,Consumer,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504,5,Brilliant,Best product
96,US-2017-109484,RB-19705,OFF-BI-10004738,Home Office,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,5,Great product,Very good
97,CA-2017-161018,PN-18775,FUR-FU-10000629,Home Office,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426,5,Highly recommended,Good product delivery on time ƒ?§‹?
98,CA-2017-157833,KD-16345,OFF-BI-10001721,Consumer,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,5,Must buy!,Nice product deliver in time
99,CA-2016-149223,ER-13855,OFF-AP-10000358,Corporate,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852,5,Terrific purchase,I honestly liked the product.Best desert cooler at lowest price. I got the deal of 6889/-Nice brand. Good built quality with precision to each.Good switches and knobs to control.Takes space as its huge.Very silent.Not high but good speed fan to cool upto upto 12 feet.No ice tray but its not a matter.Go for it.
100,CA-2016-158568,RB-19465,OFF-PA-10003256,Home Office,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,1,Very poor,Don't buy this product.. Within 1.5 year wind blade was broken and noise issue. Wind blow very low.. It's better to go other brand..
101,CA-2016-158568,RB-19465,TEC-AC-10001767,Home Office,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,5,Mind-blowing purchase,Awesome product
102,CA-2016-158568,RB-19465,OFF-BI-10002609,Home Office,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,5,Terrific purchase,Very good product.
103,CA-2016-129903,GZ-14470,OFF-PA-10004040,Consumer,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208,4,Good quality product,Valu for money
104,US-2015-156867,LC-16870,TEC-AC-10001552,Consumer,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,4,Wonderful,Nice to
105,US-2015-156867,LC-16870,FUR-FU-10004006,Consumer,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,1,Useless product,Worst product ....Fan speed very slow....like nothing......
106,US-2015-156867,LC-16870,OFF-BI-10002794,Consumer,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,5,Terrific purchase,Best product
107,CA-2017-119004,JM-15250,TEC-AC-10003499,Consumer,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,5,Simply awesome,"Big size, mostly like industrial cooler, but within this price and my house is big it is perfect. No wheels but can buy stand and it works fine. If you have close home and less space go for other options."
108,CA-2017-119004,JM-15250,TEC-PH-10002844,Consumer,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,1,Unsatisfactory,Very Bad service by Flipkart customer care representative and Jeeves agent. Too much Bad performance. No cooling just like a stand fan.
109,CA-2017-119004,JM-15250,OFF-AR-10000390,Consumer,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,4,Really Nice,Oh really really very good I am so happy
110,CA-2015-129476,PA-19060,TEC-AC-10000844,Home Office,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,1,Unsatisfactory,Low air and not cooling as axcpected
111,CA-2017-146780,CV-12805,FUR-FU-10001934,Corporate,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096,5,Best in the market!,Super cooling system
112,CA-2016-128867,CL-12565,OFF-AR-10000380,Consumer,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,5,Highly recommended,Very nice working
113,CA-2016-128867,CL-12565,OFF-BI-10003981,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476,5,Classy product,Excellent performance
114,CA-2014-115259,RC-19960,OFF-FA-10000621,Consumer,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,4,Good quality product,Good ???
115,CA-2014-115259,RC-19960,OFF-EN-10002600,Consumer,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,5,Best in the market!,Wonderful product. Can go for it.
116,CA-2014-115259,RC-19960,OFF-PA-10004965,Consumer,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925,4,Good quality product,Really desert cooler. Super cool???????
